Nombre_Completo,Tipo_Estafa
Charles Ponzi,Ponzi
Bernard Madoff,Ponzi
Elizabeth Holmes,Corporate
Sam Bankman-Fried,Crypto
Ruja Ignatova,Crypto
Jordan Belfort,Stocks
Allen Stanford,Ponzi
Tom Petters,Ponzi
Scott Rothstein,Ponzi
Nick Leeson,Banking
Jérôme Kerviel,Banking
Kweku Adoboli,Banking
Yasuo Hamanaka,Commodities
Frank Abagnale,Forgery
Marc Dreier,Ponzi
Sholam Weiss,Insurance
Martin Shkreli,Securities
Ramesh Balwani,Corporate
Bernard Ebbers,Corporate
Jeffrey Skilling,Corporate
Kenneth Lay,Corporate
Dennis Kozlowski,Corporate
Vijay Mallya,Banking
Nirav Modi,Banking
Harshad Mehta,Stocks
Subrata Roy,Ponzi
Ivan Boesky,Insider
Michael Milken,Bonds
Raj Rajaratnam,Insider
Rajat Gupta,Insider
Barry Minkow,Corporate
Lou Pearlman,Ponzi
Gerald Cotten,Crypto
Alex Mashinsky,Crypto
Do Kwon,Crypto
Trevor Milton,Corporate
Eike Batista,Corporate
Jho Low,Corruption
Kirk Wright,Ponzi
Norman Hsu,Ponzi
Reed Slatkin,Ponzi
Arthur Nadel,Ponzi
Nicholas Cosmo,Ponzi
Nevin Shapiro,Ponzi
Paul Burks,Ponzi
Greg Lindberg,Insurance
Su Zhu,Crypto
Kyle Davies,Crypto
Gilbert Chikli,Impersonation
Gregor MacGregor,Poyais
Victor Lustig,Scam
Joseph Weil,Swindle
Ferdinand Ward,Ponzi
William Miller,Ponzi
Ivar Kreuger,Corporate
Philip Musica,Corporate
Tino De Angelis,Commodities
Robert Vesco,Mutual
John Stonehouse,Fraud
C. David Scaroni,Ponzi
J. David Dominelli,Ponzi
Michael de Guzman,Mining
John Rusnak,Banking
Toshihide Iguchi,Banking
Peter Young,Asset
David Murcia Guzmán,Ponzi
Daniel Urrego,Ponzi
Rafael Garay,Ponzi
Alberto Chang,Ponzi
Mauricio Rossi,Ponzi
Nenad Djordjevic,Fraud
Steven Hoffenberg,Ponzi
Martin Frankel,Insurance
Samuel Israel III,Ponzi
Joseph Nacchio,Insider
Richard Scrushy,Corporate
Sanjay Kumar,Corporate
Walter Forbes,Corporate
John Rigas,Corporate
Timothy Rigas,Corporate
L. Dennis Kozlowski,Corporate
Mark Swartz,Corporate
Frank Quattrone,Securities
David Radler,Corporate
Conrad Black,Corporate
James McDermott Jr.,Insider
Mathew Martoma,Insider
Anthony Elgindy,Stocks
Guilherme Esteves,Corruption
Marcos Valério,Corruption
Sergio Moro,Legal
Atef Ebeid,Corruption
Mohamed Abdel Alim,Fraud
Ketan Parekh,Stocks
Abdul Karim Telgi,Forgery
Ramalinga Raju,Corporate
B. Ramalinga Raju,Corporate
V. S. Sudhakar,Corporate
Chen Shui-bian,Corruption
Lai Changxing,Smuggling
