Company_Name,Market
OneCoin,Crypto
BitConnect,Crypto
Aras Investment,Ponzi
Xifra Lifestyle,Crypto
OmegaPro,Forex
IM Master Academy,Pyramid
Kuvera,Forex
PayDiamond,Ponzi
Evo Global,Pyramid
cifraFX,Crypto
Axalta Financial,Forex
Bensocial,Pyramid
Elizion,Crypto
Only Traders,Forex
Capital Banca Latina,Loan
Active Economy,Ponzi
ArixaTrade,Forex
TAOTA CAPITAL,Forex
Zentilleon AG,Investment
Apexcapitals,Forex
FinancialHorizon,Loan
JLT Wealth Management,Investment
Moneyfex,Forex
TradeWithMentors,Forex
ICinvesting,Investment
Earnersmarket,Crypto
Atlas Global Mining,Mining
AiOKAI,Crypto
AlvacaMarket,Forex
DexNova,Crypto
Tebbit,Crypto
AlphaBitco,Crypto
Commercial Neo Bank,Banking
HUXHAM FUTURES,Futures
Centennial Stocks,Stocks
EqTrade,Forex
Comert,Investment
DyonZee,Crypto
AgraMarkets,Forex
Eplanet Brokers,Forex
Titan Global Markets,Forex
RelatedInvest,Investment
LKY Trade,Forex
LLoyds Markets,Forex
Traderium,Crypto
Digital Trading Fx,Forex
Nevis Capital Trades,Forex
Glint Signals Fx,Forex
JekTrade,Forex
IPS Markets,Forex
NextPoint Global,Investment
Cyber Capital,Crypto
Avalon Brand,Forex
Ledtrino,Crypto
Legit Bitcoin Fx,Crypto
MGT Investing,Forex
Unified Chase,Banking
Capital Structure,Investment
GreenProGain,Ponzi
C-Market Trade,Forex
Meta White Whale,Crypto
Strio Trading,Forex
Epivantrade,Forex
FXCFS Traders,Forex
Prime Investing,Ponzi
ZetBull,Ponzi
Orbital Limited,Crypto
BinakFX,Forex
Neptrades,Forex
Crypto FX Index,Crypto
CMEO,Crypto
Flex Trading FX,Forex
IC Market Pros,Forex
FlexTrade,Forex
Grand Capital CG,Forex
Litro Fx Market,Forex
CZ Changpeng FX,Crypto
Genox Invest,Crypto
Crypto Margin,Crypto
Forex Win Trade,Forex
O3 FX Capital,Forex
Speed Gain FX,Forex
Primax Trades,Forex
Aviv Capitals,Forex
Binance Invest Ltd,Crypto
FX Goat,Forex
Affluence FX,Forex
Amerit Forex Trade,Forex
Astro Fx Options,Options
Bit Forex Trade,Crypto
Coingate Forex Pro,Crypto
Easy Fx Exchange,Forex
Fast Forex Trade Lab,Forex
Fast Secure Fx,Forex
Forex Trade Platform,Forex
Fortress FX Capital,Forex
FX Winning,Forex
Capital Gains Group,Investment
Trade Com Fake,Forex
DBFX Trading,Forex
1st Columbus Management,Asset
1st Invest Broker,Forex
1st New York Financial,Investment
1st Ventures,Venture
245 Trades,Forex
247 Options Trade,Options
247 TRADES FX,Forex
247 Ant Mining Trade,Mining
247 Bitxconnect,Crypto
247 Coinblaze,Crypto
247 Crypto Trade,Crypto
A-Y Universal,Investment
AIM Corporation,Investment
A1 Loans,Loan
A2B FX Strategy,Forex
A3 Union,Ponzi
AA Capital,Investment
AAA Fund,Investment
Aaoption,Options
Aarambh India FX,Forex
AB Funding,Loan
AB Investment,Investment
Abacus Financial,Asset
Abacus Group,Investment
Abacus Marketing,Pyramid
Abarcas Solutions,Consulting
Abberley Capital,Investment
Abbey House Acquisitions,Realestate
Abbey Loans,Loan
Abbotts Investment Group,Investment
ABC Direct Solutions,Consulting
ABC Finance,Loan
ABD World Group,Investment
Abdland,Realestate
Abel Myers Consulting,Consulting
Aberdeen Asset Clone,Asset
Aberdeen Langley,Investment
Aberdeen Mortgage,Mortgage
Aberdeen Trust Clone,Trust
Abesix,Crypto
ABF Capital Management,Asset
Ability Corporate Advisory,Consulting
Able Alternatives,Investment
Able Capital,Investment
Abra Forex Group,Forex
Abridge Enterprises,Investment
Abrilfx,Forex
ABSA Wealth Clone,Asset
Access Broker Inc,Forex
Access Financial,Investment
Access Loan,Loan
Access Merchant Bank,Banking
Access VIPtrade Options24,Options
Accesscapitalfx,Forex
Accesscrypto Investment,Crypto
Access Crypto 247,Crypto
Access FX 247 Trade Pro,Forex
Accet Mining,Mining
Action FX Trade,Forex
Active Cash UK,Loan
Active Forex Trade,Forex
Active Refunds,Recovery
Active4X,Forex
Activeprofx,Forex
Active Pro Trades,Forex
Activ Fx Trade,Forex
Acuity Trade FX,Forex
Acuratrade,Forex
ACV Operations,Consulting
Adagio Accountants,Accounting
Adam International Trading,Trade
Adams Taylor Group,Consulting
Adams Group,Investment
Adderley Davis,Consulting
Addison Management,Asset
Adelan Finances,Loan
Aden Markets,Forex
Adexec Loans,Loan
ADG Capital,Asset
ADIBUK Group,Banking
ADM Securities,Stocks
Admiral Private Equity,Equity
ADN UK Finance,Loan
ADS Quality Financial,Consulting
Advance Futures,Futures
Advance Partners,Investment
Advanced Digital Trade,Crypto
Advanced Global Securities,Stocks
Advanced Fx Market,Forex
Advantage IEC,Investment
Advantage Securities,Stocks
Advantius,Consulting
Advantium,Asset
Advent Capital Clone,Asset
Advent Oriental Asset,Asset
Advice Consultants,Consulting
Aedan Investment Mortgage,Mortgage
AEG Investment,Investment
Aegis Acquisition,Realestate
Aeon Loans,Loan
